main_headline,classification,year
LARGE FORCE OF REBELS AT NEW-MADRID,1,1861
THE PRESIDENT AND GEN. SCOTT.,1,1861
RETURN OF THE BOSTON LIGHT ARTILLERY.,1,1861
TWADDLE.,1,1861
HOUSE OF REPRESENTATIVES.,1,1861
VESSELS FOR KEY WEST.,1,1861
MARRIED.,1,1861
Arrivals in the City.,1,1861
PROCEEDINGS OF CONGRESS.; SENATE.,1,1861
A STARTLING FINANCIAL ITEM.,1,1861
Arrivals in the City.,1,1861
QUESTIONABLE REBEL REPORTS.,1,1861
COL. MARTIN OF THE SEVENTY-FIRST.,1,1861
FROM BALTIMORE.; ARRIVAL OF THE POLICE COMMISSIONERS AS PRISONERS.,1,1861
THE WAR ON THE KANAWHA.; RETREAT OF GEN. WISE.,1,1861
RETURN OF THE BOSTON LIGHT ARTILLERY.,1,1861
Markets by Telegraph.,1,1861
A SPEECH FROM PRESIDENT DAVIS.,1,1861
ABOUT PRISONERS OF WAR.,1,1861
LATEST REPORTS FROM MISSOURI.,1,1861
GEN. PATTERSON'S DEFENCE.,1,1861
DOINGS OF THE REBEL CONGRESS.,1,1861
MOVEMENTS OF PRINCE NAPOLEON,1,1861
To Subscribers.,1,1861
MILITARY MOVEMENTS IN MISSOURI.,1,1861
A CARD FROM ALEXANDER CUMMINGS.,1,1861
MILITARY MOVEMENT IN NEBRASKA.,1,1861
The Cabinet.,1,1861
RETURN OF THE TWELFTH REGIMENT.,1,1861
THE KILLED AND WOUNDED.,1,1861
Loyalty in Missouri.,1,1861
Arrest for Libel.,1,1861
WOUNDED AND PRISONERS.,1,1861
New-Jersey.,1,1861
NEW OUTRAGES ALONG THE IOWA LINE,1,1861
Albany Live Stock Market.,1,1861
MILITARY AND NAVAL MOVEMENTS.,1,1861
THE NEW GENERALS.,1,1861
THE HORSE MARKET.,1,1861
Passengers Sailed.,1,1861
Markets by Telegraph.,1,1861
Passengers Sailed.,1,1861
MORE TROOPS FOR THE WAR.,1,1861
"BAD FOR THE REPORTERS.""",1,1861
JUSTICE TO COL. MARTIN.,1,1861
THE NEW-YORK TWELFTH COMING HOME.,1,1861
AN INCIDENT OF THE BULL RUN FIGHT.,1,1861
THE RETURNING REGIMENTS.,1,1861
Movements of Ocean Steamers.,1,1861
MILITARY AND NAVAL MOVEMENTS.,1,1861
INCIDENTS OF THE BATTLE.,1,1861
Amusements this Evening.,1,1861
MORE TROOPS WANTED.,1,1861
THE PRIZE SCHOONER TROPIC WIND AT SANDY HOOK.,1,1861
The National Hymn.,1,1861
BROOKLYN NEWS.,1,1861
IOWA ACTIVE.; The Davenport (Iowa) Gazette says:,1,1861
RETURN OF THE TWELFTH REGIMENT.,1,1861
THE RETURNING REGIMENTS.,1,1861
LATEST REPORTS FROM FORTRESS MONROE.,1,1861
DIED.,1,1861
The Other Side of the Story.,1,1861
The Health of the Army.,1,1861
FROM GEN. BANKS' DIVISION.,1,1861
GENERAL MARKETS.,1,1861
BROOKLYN NEWS.,1,1861
"AN INQUIRY AFTER CHAPLAIN EDDY, OF THE SECOND CONNECTICUT.",1,1861
THE NEW-YORK TWELFTH COMING HOME.,1,1861
THE WOUNDED CONFEDERATES.,1,1861
TROOPS FOR GEN. HARDEE.,1,1861
SOUTHERN NEWS THROUGH LOUISVILLE,1,1861
Mails Close at the Post-office.,1,1861
"ENGLAND, THE UNITED STATES AND CANADA.",1,1861
THE CALL FOR THE NEW REGIMENTS.,1,1861
THAT FLAG OF TRUCE.,1,1861
INTERESTING FROM THE EXTREME WEST.,1,1861
A CARD FROM ALEXANDER CUMMINGS.,1,1861
SOUTHERN NEWS.,1,1861
New-Jersey.,1,1861
MORE ACTIVITY.,1,1861
FROM THE OSAGE INDIAN REGION.,1,1861
MARRIED.,1,1861
MINIATURE ALMANAC THIS DAY.,1,1861
Orbituary.,1,1861
Uniformity in Uniforms.,1,1861
By Telegraph.,1,1861
MILITARY AND NAVAL MOVEMENTS.,1,1861
Arrivals in the City.,1,1861
Markets by Telegraph.,1,1861
How to Solve the Slavery Question.,1,1861
LATEST VIA QUEENSTOWN.,1,1861
Passengers Arrived.,1,1861
UNION DEFENCE COMMITTEE.,1,1861
BOYS DROWNED WHILE BATHING.,1,1861
MORE TROOPS FOR THE WAR.,1,1861
MOVEMENTS OF TROOPS IN MASSACHUSETTS.,1,1861
Passengers Arrived.,1,1861
AFFAIRS AT FORTRESS MONROE.; ANOTHER EXPEDITION AGAINST THE REBELS.,1,1861
Chamber of Commerce.,1,1861
Mails Close at the Post-office.,1,1861
No Time for Peace.,1,1861
TREASURE TROVE.,1,1861
THE FIRST ORDER OF GEN. McCLELLAN.,1,1861
LARGE FORCE OF REBELS AT NEW MADRID,1,1861
To Subscribers.,1,1861
GENERAL CITY NEWS.,1,1861
PROCEEDINGS OF CONGRESS.; SENATE.,1,1861
Movements of Ocean Steamers.,1,1861
COMMENTS ON THE BUDGET OF SECRETARY CHASE.,1,1861
A CORRECTION.,1,1861
Passengers Sailed.,1,1861
OUR WOUNDED AT MANASSAS.,1,1861
ARRIVAL OF THE VIXEN.,1,1861
Amusements this Evening.,1,1861
RETURN OF THE FIRST MAINE REGIMENT.,1,1861
HOUSE OF REPRESENTATIVES.,1,1861
Attorney's Lien for Costs.,1,1861
FEMALE SPIES IN WASHINGTON.,1,1861
GOV. WISE COMPLETELY SURROUNDED.,1,1861
CAPT. E.L. VIELE.,1,1861
DEPARTURE OF THE ONONDAGA COUNTY CAVALRY.,1,1861
SUICIDE BY DROWNING.,1,1861
Bay of the Surgical Staff of the Army.,1,1861
PAY OF CENSUS-TAKERS.,1,1861
A MOVE IN THE RIGHT DIRECTION.,1,1861
WISE'S FLIGHT FROM GAULEY BRIDGE.,1,1861
THE RIVAL MILITARY ROUTES TO WASHINGTON.,1,1861
WIARD'S STEEL RIFLED CANNON.,1,1861
MINIATURE ALMANAC.,1,1861
Accident to the Steamer Metropolis.,1,1861
Col. Henderson not a Secession Agent at London.,1,1861
The Battle of the 21st.,1,1861
Vigor of the Rebels.,1,1861
