pub_date,main_headline,article_url,classification
1857-01-01T00:03:58Z,Article 5 -- No Title,https://query.nytimes.com/gst/abstract.html?res=9906E4DF1230EE34BC4953DFB766838C649FDE,0
1857-01-01T00:03:58Z,Tax-Receiver's Office.,https://query.nytimes.com/gst/abstract.html?res=9B01E4DF1230EE34BC4953DFB766838C649FDE,0
1857-01-01T00:03:58Z,?? ?? ??,https://query.nytimes.com/gst/abstract.html?res=9B06E4DF1230EE34BC4953DFB766838C649FDE,0
1857-01-01T00:03:58Z,SPECIAL NOTICES.,https://query.nytimes.com/gst/abstract.html?res=9F00E4DF1230EE34BC4953DFB766838C649FDE,0
1857-01-01T00:03:58Z,"Affairs at Havana.; THE SPANISH PRESS ON WALKER--CONTEMPLATED CHANGE IN THE GOVERNMENT OF THE ISLAND--PROSPECTS OF A FAMINE--DOMINICAN AFFAIRS--THE MEXICAN QUESTION, ETC.",https://query.nytimes.com/gst/abstract.html?res=9B04E4DF1230EE34BC4953DFB766838C649FDE,0
1857-01-01T00:03:58Z,Obituary.,https://query.nytimes.com/gst/abstract.html?res=9A01E4DF1230EE34BC4953DFB766838C649FDE,0
1857-01-01T00:03:58Z,From Kansas.; MURDER AT TROUMSKH--DELAWARE LAND SALES--MAJOR BUFORD--SEVERAL ITEMS..,https://query.nytimes.com/gst/abstract.html?res=9404E4DF1230EE34BC4953DFB766838C649FDE,0
1857-01-01T00:03:58Z,LONG ISLAND.,https://query.nytimes.com/gst/abstract.html?res=9402E4DF1230EE34BC4953DFB766838C649FDE,0
1857-01-01T00:03:58Z,Article 12 -- No Title,https://query.nytimes.com/gst/abstract.html?res=9500E4DF1230EE34BC4953DFB766838C649FDE,0
1857-01-01T00:03:58Z,Article 11 -- No Title,https://query.nytimes.com/gst/abstract.html?res=9501E4DF1230EE34BC4953DFB766838C649FDE,0
1857-01-01T00:03:58Z,POLITICAL NOTICES.,https://query.nytimes.com/gst/abstract.html?res=9900E4DF1230EE34BC4953DFB766838C649FDE,0
1857-01-01T00:03:58Z,DIED.,https://query.nytimes.com/gst/abstract.html?res=9E0DE4DF1230EE34BC4953DFB766838C649FDE,0
1857-01-01T00:03:58Z,Ocean Steamers.; SAILING OF THE CANADA FROM BOSTON.,https://query.nytimes.com/gst/abstract.html?res=9905E4DF1230EE34BC4953DFB766838C649FDE,0
1857-01-01T00:03:58Z,Front Page 2 -- No Title,https://query.nytimes.com/gst/abstract.html?res=940CE5DF1230EE34BC4953DFB766838C649FDE,0
1857-01-01T00:03:58Z,Front Page 6 -- No Title,https://query.nytimes.com/gst/abstract.html?res=9804E4DF1230EE34BC4953DFB766838C649FDE,0
1857-01-01T00:03:58Z,Article 8 -- No Title,https://query.nytimes.com/gst/abstract.html?res=9C01E4DF1230EE34BC4953DFB766838C649FDE,0
1857-01-01T00:03:58Z,Relief for the Family of the Murdered Mans Cornelius Cannon.,https://query.nytimes.com/gst/abstract.html?res=9F01E4DF1230EE34BC4953DFB766838C649FDE,0
1857-01-01T00:03:58Z,LAW INTELLIGENCE.; SUPERIOR COURT. COURT OF COMMON PLEAS- The Criminal Courts. SUPREME COURT- SUPREME COURT.,https://query.nytimes.com/gst/abstract.html?res=9D07E4DF1230EE34BC4953DFB766838C649FDE,0
1857-01-01T00:03:58Z,Murders.,https://query.nytimes.com/gst/abstract.html?res=9807E4DF1230EE34BC4953DFB766838C649FDE,0
1857-01-01T00:03:58Z,"FOUR DAYS LATER FROM EUROPE.; The British Declaration of War Against Persia. THE ATTEMPTED ASSASSINATION OF THE KING OF NAPLES. COTTON FIRM ---BREADSTUFFS DULL. Consols for Account 93 5-8@93 3-4 ARRIVAL OF THE FULTON. Safety of the nermann---Return to Southampton in a Damaged Condition, Threatening Aspect of the Neufchatel Question. Visit of Queen Victoria to the Arctic Ship Resolute.",https://query.nytimes.com/gst/abstract.html?res=9904E4DF1230EE34BC4953DFB766838C649FDE,0
1857-01-01T00:03:58Z,The Indians in Florida.,https://query.nytimes.com/gst/abstract.html?res=9D04E4DF1230EE34BC4953DFB766838C649FDE,0
1857-01-01T00:03:58Z,Front Page 1 -- No Title,https://query.nytimes.com/gst/abstract.html?res=9B0CE5DF1230EE34BC4953DFB766838C649FDE,0
1857-01-01T00:03:58Z,INSURANCE.,https://query.nytimes.com/gst/abstract.html?res=9503E4DF1230EE34BC4953DFB766838C649FDE,0
1857-01-01T00:03:58Z,MARRIED.,https://query.nytimes.com/gst/abstract.html?res=9D0DE4DF1230EE34BC4953DFB766838C649FDE,0
1857-01-01T00:03:58Z,COAL,https://query.nytimes.com/gst/abstract.html?res=9B03E4DF1230EE34BC4953DFB766838C649FDE,0
1857-01-01T00:03:58Z,Another Boat of the Lyonnais Picked Up at Sea.,https://query.nytimes.com/gst/abstract.html?res=9F05E4DF1230EE34BC4953DFB766838C649FDE,0
1857-01-01T00:03:58Z,BANK NOTICES.,https://query.nytimes.com/gst/abstract.html?res=9A03E4DF1230EE34BC4953DFB766838C649FDE,0
1857-01-01T00:03:58Z,U.s. Supreme Court.,https://query.nytimes.com/gst/abstract.html?res=9D05E4DF1230EE34BC4953DFB766838C649FDE,0
1857-01-01T00:03:58Z,New-Year's Day.,https://query.nytimes.com/gst/abstract.html?res=9E06E4DF1230EE34BC4953DFB766838C649FDE,0
1857-01-01T00:03:58Z,Article 4 -- No Title,https://query.nytimes.com/gst/abstract.html?res=9507E4DF1230EE34BC4953DFB766838C649FDE,0
1857-01-01T00:03:58Z,THREE DAYS LATER FROM EUROPE; ConsoIs 94@94 1-8. Advance ie Cotton---Breadstuffs Dull and Lower. [By the American Printing Telegraph Company's Lines. Office No. 21 Wall-street.] Further Reduotion in the Bank of England's Rate of Discount. Strong Feeling in England Against the Persian War. The Paris Congress not yet Assembled. ARRIVAL OF THE NIAGARA AT HALIFAX. Great Preparations of Prussia Against Switzerland. THE FALL OF HERAT CONFIRMED.,https://query.nytimes.com/gst/abstract.html?res=9C04E4DF1230EE34BC4953DFB766838C649FDE,0
1857-01-01T00:03:58Z,Article 6 -- No Title,https://query.nytimes.com/gst/abstract.html?res=9406E4DF1230EE34BC4953DFB766838C649FDE,0
1857-01-01T00:03:58Z,NEWS FROM THE LYONNAIS.; NAVAL AND MARINE AFFAIRS. Several of her Passengers Reported Saved. The Bordeaux Report Unfounded.,https://query.nytimes.com/gst/abstract.html?res=990CE5DF1230EE34BC4953DFB766838C649FDE,0
1857-01-01T00:03:58Z,Another Affair of Honor:,https://query.nytimes.com/gst/abstract.html?res=9F07E4DF1230EE34BC4953DFB766838C649FDE,0
1857-01-01T00:03:58Z,Article 7 -- No Title,https://query.nytimes.com/gst/abstract.html?res=9506E4DF1230EE34BC4953DFB766838C649FDE,0
1857-01-01T00:03:58Z,Transportating Vessels Overland.,https://query.nytimes.com/gst/abstract.html?res=9907E4DF1230EE34BC4953DFB766838C649FDE,0
1857-01-01T00:03:58Z,NEW-YORK CITY.; Mr. Willis' Lectures before the Board of Education.,https://query.nytimes.com/gst/abstract.html?res=9A02E4DF1230EE34BC4953DFB766838C649FDE,0
1857-01-01T00:03:58Z,MARINE INTELLIGENCE.,https://query.nytimes.com/gst/abstract.html?res=980DE4DF1230EE34BC4953DFB766838C649FDE,0
1857-01-01T00:03:58Z,NEW-YORK CITY.; Board of Aldermen. THE WORK OF DISSOLUTION. BOTH BOARDS AJOURN Two More Vetoes. MUNICIPAL. Board of Councilmen. Mr. Sumner's Lecture on Spain and her Revolutions. Young Men's Christian Association. Tried to Kill Herself. Pacific Emigration. Stealing Silk. Moral Insanity Again. Killed by a Fail. Fires. Applying to the State for a Fire Engine. State Superintendent of Public Instruction.,https://query.nytimes.com/gst/abstract.html?res=9C07E4DF1230EE34BC4953DFB766838C649FDE,0
1857-01-01T00:03:58Z,RAILROADS.,https://query.nytimes.com/gst/abstract.html?res=9D02E4DF1230EE34BC4953DFB766838C649FDE,0
1857-01-01T00:03:58Z,Commissioners of Emigration.,https://query.nytimes.com/gst/abstract.html?res=9A0CE5DF1230EE34BC4953DFB766838C649FDE,0
1857-01-01T00:03:58Z,"Another Chapter in the Baker Case,",https://query.nytimes.com/gst/abstract.html?res=9401E4DF1230EE34BC4953DFB766838C649FDE,0
1857-01-01T00:03:58Z,Front Page 5 -- No Title,https://query.nytimes.com/gst/abstract.html?res=9F04E4DF1230EE34BC4953DFB766838C649FDE,0
1857-01-01T00:03:58Z,NEW-JERSEY.; City Prison Report. THE NEW FERRY-HOUSE.,https://query.nytimes.com/gst/abstract.html?res=9C0DE4DF1230EE34BC4953DFB766838C649FDE,0
1857-01-01T00:03:58Z,Article 1 -- No Title,https://query.nytimes.com/gst/abstract.html?res=9A07E4DF1230EE34BC4953DFB766838C649FDE,0
1857-01-01T00:03:58Z,Article 2 -- No Title,https://query.nytimes.com/gst/abstract.html?res=9B07E4DF1230EE34BC4953DFB766838C649FDE,0
